기업명,산업,주요사업
한국후지필름비즈니스이노베이션,사무용 기계 및 장비 제조업,복사기팩시밀리 제조도소매통신판매/사무통신기기 임대
주택관리공단,건설·시공·토목·조경,주거용 부동산 관리업
신세계푸드,기관 구내식당업,단체급식(기업/학교)/식품 제조/식자재베이커리 유통
엔에이치엔,유선 온라인 게임 소프트웨어 개발 및 공급업,한게임소프트웨어 개발공급온라인정보전자금융/소프트웨어프로그램 도소매전자상거래/부동산 임대전대
한국국제협력단,외무 행정,정부차원의 대외무상협력사업 전담기관(연수생초청사업전문인력 파견사업(전문가의사태권도 사범등)해외봉사단 파견사업(국제협력요원 포함)개발조사사업
에이치디현대인프라코어,건설 및 채광용 기계장비 제조업,굴삭기엔진 제조도소매
엘오케이,화장품 및 화장용품 도매업,화장품향수위생용품 도소매무역오파통신판매
이글루코퍼레이션,정보보안,정보 서비스 (통합보안관제서비스통합보안관리솔루션)
지에스건설,토목시설물 건설업,토목공사건축공사주택공사산업플랜트공사리모델링공사시설물유지관리공사/산업설비설계감리 용역수출입/에너지관리 진단연구개발
한국에스지에스,물질성분 검사 및 분석업,기술검사시험용역컨설팅건축토목기술정보시스템감리소프트웨어시험인증학술연구용역
에스케이실트론,다이오드 트랜지스터 및 유사 반도체소자 제조업,실리콘 웨이퍼(규소박판전자산업용반도체기초자료) 제조/자연과학공학 연구개발
한화호텔앤드리조트,호텔·여행·항공,호텔 리조트 골프장 워터파크
한세실업,근무복 작업복 및 유사의복 제조업,의류 완제품 제조
jw중외제약,완제 의약품 제조업,수액제소화기궤양치료제항생제항암제 제조도매
농심,면류 마카로니 및 유사식품 제조업,라면스낵유지 제조도매수출입/생수수입상품도매무역/통신판매/음식점/보관창고/부동산 임대
금호타이어,타이어 및 튜브 제조업,타이어튜브 제조도매무역
덴티움,제약·보건·바이오,치과용 임플란트 제조 및 판매
한국항공우주산업,항공기 우주선 및 보조장치 제조업,항공기우주선위성체발사체동 부품 설계제조판매정비
현대트랜시스,그 외 자동차용 신품 부품 제조업,자동차부품 제조/무역/부동산 임대건축신축 판매/연구개발
엘엑스판토스,화물운송 중개 대리 및 관련 서비스업,복합운송주선물류관리/운송용파레트 제조/의약품 도매/무역
코스트코코리아,대형 마트,유통대형점 운영
한국스탠다드차타드은행,국내은행,은행신탁(대출금이자유가증권수익수입수수료)/주차장/부동산 임대/수입인지복권 판매대행
한국단자공업,전기회로 개폐 보호장치 제조업,전기변환장치(광커넥터통신용콘넥터정밀압착단자설계) 제조무역(수출)
신세계인터내셔날,셔츠 및 블라우스 소매업,의류생활용품화장품 판매수입제조
케이티디에스,컴퓨터시스템 통합 자문 및 구축 서비스업,컴퓨터시스템 구축유지보수소프트웨어 자문개발공급위탁교육훈련/컴퓨터주변기기 도소매
휴먼티에스에스,경비 및 경호 서비스업,시설경비
김앤장법률사무소,회계·세무·법무, 법률 회계 서비스
영풍전자,인쇄회로기판용 적층판 제조업,인쇄회로기판부속자재금형 제조도소매/교육 훈련
보령,완제 의약품 제조업,전문의약품(고혈압(카나브)항암(젬자 알림타)당뇨(트루다파)중추신경계(자이프렉사)일반의약품(용각산겔포스) 제조
아시아나항공,항공 여객 운송업,항공운송(여객운송화물운송)/항공기 제조정비수리
엘엑스하우시스,화물운송 중개 대리 및 관련 서비스업,복합운송주선물류관리/운송용파레트 제조/의약품 도매/무역
이케아코리아,상품 종합 도매업,무역/태양력 발전/축산물식품가구인테리어상품잡화가전제품꽃식물 소매
에이케이플라자,백화점,백화점/부동산 임대개발/주차장 운영
테크윙,반도체 제조용 기계 제조업,반도체 후공정 검사장비(Probe StationHBM HandlerMemory)공정검사 자동화장비 제조도소매
뉴넥스,솔루션·SI·CRM·ERP, 모바일 패션 커머스 플랫폼
롯데칠성음료,기타 비알코올 음료 제조업,청량음료과채류음료곡류음료주류 제조판매/자동차정비연수원
남양유업,액상시유 및 기타 낙농제품 제조업,시유조제분유발효유이유밀치즈커피음료 제조도매
효성,솔루션·SI·CRM·ERP,스마트팩토리 IT/CDN/SI 서비스 데이터센터 Display 솔루션 컨택센터 운영
매일유업,액상시유 및 기타 낙농제품 제조업,유제품(우유분유발효유치즈커피두유디저트 건강식) 제조도소매
오비맥주,맥아 및 맥주 제조업,맥주 제조도소매
일진글로벌홀딩스,그 외 자동차용 신품 부품 제조업,자동차용부품 제조/수출입/부동산 임대
코리아센터,기타 공학 연구개발업,브라이언맥머레이
천재교과서,교과서 및 학습서적 출판업,교과서학습서적 출판/영상물캐릭터애니메이션 제작
